country_code,title,job_category,company_name,city,contract_type,workday,salary_min,salary_max,salary_period,salary_currency,salary_type,remote,publish_date
es,Tecnico de campo (Instalador / Redes / Micro),Informática y telecomunicaciones,TECNOLOGIAS PLEXUS S.L.,Madrid,Contrato indefinido,Jornada completa,,,,,,Presencial,2022-08-04
es,Ingeniero de Redes,Informática y telecomunicaciones,"I3E IT Resources,S.L",Madrid,Contrato indefinido,Jornada completa,,,,,,Solo teletrabajo,2022-08-04
us,"Senior Software Developer, Platform",Information Technology,Cesium,"Philadelphia, PA",,,91420.0,126716.0,YEAR,USD,,,2022-08-24
es,Ingeniero/a DEVOPS (ATM),Informática y telecomunicaciones,ECONOCOM SERVICIOS,Madrid,Contrato indefinido,Jornada completa,40000.0,50000.0,YEAR,EUR,GROSS,Híbrido,2022-08-04
es,Becario/a de Desarrollo Backend y proyectos de Transformación Digital,Informática y telecomunicaciones,Centum Digital,Cádiz,Contrato formativo,Jornada completa,,,,,,Híbrido,2022-08-04
es,QA Pruebas funcionales,Informática y telecomunicaciones,"Infortec Consultores, S.A.U-.Zona Centro",Madrid,Contrato indefinido,Jornada completa,,,,,,Solo teletrabajo,2022-08-04
us,Principal Software Engineer - SMB- Candidate Responsiveness,Information Technology,Indeed,"Philadelphia, PA",,,167000.0,243000.0,YEAR,USD,,,2022-08-24
es,Técnico de sistemas – Posición Estable,Informática y telecomunicaciones,PSS,Madrid,Contrato indefinido,Jornada completa,18000.0,21000.0,YEAR,EUR,GROSS,Presencial,2022-08-04
es,Frontend React Developer - Full Remote,Informática y telecomunicaciones,Geekshubs,Zaragoza,Contrato indefinido,Jornada completa,30000.0,45000.0,YEAR,EUR,GROSS,Solo teletrabajo,2022-08-04
es,FULL STACK DEVELOPER - GRUPO ASV,Informática y telecomunicaciones,Grupo ASV – Servicios Corporativos,Alicante/Alacant,Contrato indefinido,Jornada completa,27000.0,36000.0,YEAR,EUR,GROSS,Híbrido,2022-08-04
es,Ingeniero de Soporte,Informática y telecomunicaciones,"VIDEO STREAM NETWORKS, S.L",Alicante/Alacant,Contrato indefinido,Jornada intensiva - mañana,21000.0,27000.0,YEAR,EUR,GROSS,Presencial,2022-08-04
es,Angular Developer (100% remoto),Informática y telecomunicaciones,IBERTECH S.L.,Madrid,Contrato indefinido,Jornada completa,,,,,,Solo teletrabajo,2022-08-04
es,Agente de Permisos FTTH - Burgos,Informática y telecomunicaciones,DIGI SPAIN TELECOM,Burgos,Contrato otros contratos,Jornada completa,,,,,,Presencial,2022-08-04
es,Técnico/a de Microinformática con francés,Informática y telecomunicaciones,Digital Talent Agency Zona Este,Hernani,Contrato indefinido,Jornada completa,,,,,,Híbrido,2022-08-04
es,Programador .NET (100% remoto),Informática y telecomunicaciones,PSS,Madrid,Contrato indefinido,Jornada completa,,,,,,Solo teletrabajo,2022-08-04
es,Analista Programador Java (Teletrabajo 100%),Informática y telecomunicaciones,Ibermática,Madrid,Contrato indefinido,Jornada completa,,,,,,Solo teletrabajo,2022-08-04
es,Programador Java y .NET (100% Teletrabajo),Informática y telecomunicaciones,Second Window,Madrid,Contrato indefinido,Jornada completa,18000.0,24000.0,YEAR,EUR,GROSS,Solo teletrabajo,2022-08-04
uk,"Relationship Manager, Signatory Relations UK and Ireland",Management & Consulting,Principles for Responsible Investment,"London, England",,,50000.0,57000.0,YEAR,GBP,,,2022-08-17
es,Operador de sistemas JUNIOR 24x7,Informática y telecomunicaciones,"Infortec Consultores, S.A.U-.Zona Centro",Madrid,Contrato indefinido,Jornada completa,,,,,,Presencial,2022-08-04
uk,Quantitative Developer,Management & Consulting,Quantile,"London, England",,,68758.0,98515.0,YEAR,GBP,,,2022-08-17
es,32562 - Analistas Web (Madrid),Informática y telecomunicaciones,GRUPO TRAGSA,Madrid,Contrato de duración determinada,Jornada completa,,,,,,,2022-08-04
es,PROGRAMADOR JAVA,Informática y telecomunicaciones,Capgemini Engineering - Consultores/as,Madrid,Contrato indefinido,Jornada completa,,,,,,Solo teletrabajo,2022-08-04
uk,"Business Development Executive, LE, GBS",Management & Consulting,Gartner,"London, England",,,53348.0,68535.0,YEAR,GBP,,,2022-08-17
uk,"Research Manager, Insights & Intelligence Practice",Management & Consulting,Madano,"London, England",,,35249.0,70000.0,YEAR,GBP,,,2022-08-17
es,Front Developer ES6 (Javascript)  (Teletrabajo 100%),Informática y telecomunicaciones,Ibermática,Madrid,Contrato indefinido,Jornada completa,,,,,,Solo teletrabajo,2022-08-04
uk,Cleaning Supervisor,Management & Consulting,Integral UK,"London, England",,,21840.0,21840.0,YEAR,GBP,,,2022-08-17
uk,Client Engagement Manager,Management & Consulting,eClerx LLC,"London, England",,,70826.0,94991.0,YEAR,GBP,,,2022-08-17
uk,Associate Product Manager (12 months FTC),Management & Consulting,Third Bridge,"London, England",,,,,YEAR,GBP,,,2022-08-17
uk,Principal Consultant - Pharmaceutical Intelligence,Management & Consulting,Informa Intelligence,"London, England",,,43084.0,65158.0,YEAR,GBP,,,2022-08-17
uk,Cleaner Position (London) - 15 hours per week - From £10.85 per hour - Mon to Fri,Management & Consulting,NuServe,"London, England",,,22568.0,22568.0,YEAR,GBP,,,2022-08-17
